iso,sentence,time_total,time_corr_abs,time_corr_perc
tzm_phon,common_voice_22_0_10,2.9480,1.6420,0.5570
tzm_word,common_voice_22_0_10,3.2650,1.8940,0.5800
tzm_word_nostop,common_voice_22_0_10,2.8650,1.6140,0.5630
tzm_phon,common_voice_22_0_11,2.7000,1.4650,0.5430
tzm_word,common_voice_22_0_11,2.5400,1.7290,0.6810
tzm_word_nostop,common_voice_22_0_11,2.7610,1.5800,0.5720
tzm_phon,common_voice_22_0_12,1.8710,0.9500,0.5080
tzm_word,common_voice_22_0_12,2.0320,1.1330,0.5580
tzm_word_nostop,common_voice_22_0_12,2.0630,1.0730,0.5200
tzm_phon,common_voice_22_0_13,2.8590,1.3730,0.4800
tzm_word,common_voice_22_0_13,3.4980,1.5410,0.4410
tzm_word_nostop,common_voice_22_0_13,2.4510,1.3210,0.5390
tzm_phon,common_voice_22_0_14,2.5060,1.0530,0.4200
tzm_word,common_voice_22_0_14,1.7010,1.2440,0.7310
tzm_word_nostop,common_voice_22_0_14,1.7360,1.1300,0.6510
tzm_phon,common_voice_22_0_15,2.7800,1.7810,0.6410
tzm_word,common_voice_22_0_15,2.2200,1.8370,0.8270
tzm_word_nostop,common_voice_22_0_15,2.1880,1.8370,0.8400
tzm_phon,common_voice_22_0_16,1.9900,1.1710,0.5880
tzm_word,common_voice_22_0_16,2.0100,1.2930,0.6430
tzm_word_nostop,common_voice_22_0_16,2.0100,1.2930,0.6430
tzm_phon,common_voice_22_0_17,2.4820,1.5130,0.6100
tzm_word,common_voice_22_0_17,1.8320,1.6890,0.9220
tzm_word_nostop,common_voice_22_0_17,2.2990,1.6590,0.7220
