gold,pred,time_sec,support,avg_time,var_time
UNK,w,1.508000,18.000000,0.083778,0.000860
w,w,1.275000,17.000000,0.075000,0.000465
w,UNK,1.390000,17.000000,0.081765,0.000638
UNK,t:,1.993000,15.000000,0.132867,0.000791
UNK,z,1.338000,15.000000,0.089200,0.000369
dˤ,UNK,1.230000,14.000000,0.087857,0.000731
f,UNK,1.091000,13.000000,0.083923,0.001554
UNK,f,1.180000,13.000000,0.090769,0.001156
UNK,dˤ,1.151000,13.000000,0.088538,0.000064
f,f,1.055000,12.000000,0.087917,0.001442
t,t:,0.541000,12.000000,0.045083,0.000993
dˤ,dˤ,1.050000,12.000000,0.087500,0.000055
r,a,0.286000,11.000000,0.026000,0.000828
b,UNK,0.530000,11.000000,0.048182,0.000688
UNK,b,0.825000,11.000000,0.075000,0.000813
UNK,n:,1.612000,10.000000,0.161200,0.001386
i,j,0.344000,10.000000,0.034400,0.000584
ʃ,ʃ,0.769000,9.000000,0.085444,0.000782
ʃ,UNK,0.770000,9.000000,0.085556,0.000780
UNK,ʃ,0.822000,9.000000,0.091333,0.000754
n:,n:,1.183000,9.000000,0.131444,0.002028
n:,UNK,1.200000,9.000000,0.133333,0.001911
b,b,0.490000,9.000000,0.054444,0.000602
s:,s:,1.341000,9.000000,0.149000,0.000875
s:,UNK,1.350000,9.000000,0.150000,0.000867
UNK,s:,1.452000,9.000000,0.161333,0.000312
z,z,0.803000,9.000000,0.089222,0.000356
z,UNK,0.820000,9.000000,0.091111,0.000321
l:,l:,0.699000,9.000000,0.077667,0.001020
l:,UNK,0.750000,9.000000,0.083333,0.001311
UNK,l:,0.969000,9.000000,0.107667,0.000343
t:,UNK,0.660000,7.000000,0.094286,0.003310
t,s,0.523000,7.000000,0.074714,0.002090
n,i,0.209000,7.000000,0.029857,0.000646
UNK,d:,1.129000,7.000000,0.161286,0.000452
t:,t:,0.638000,6.000000,0.106333,0.002254
dˤ,a,0.080000,6.000000,0.013333,0.000062
UNK,m:,0.850000,6.000000,0.141667,0.000573
rˤ,rˤ,0.293000,6.000000,0.048833,0.000287
rˤ,UNK,0.380000,6.000000,0.063333,0.000522
UNK,rˤ,0.367000,6.000000,0.061167,0.000137
t,n,0.122000,5.000000,0.024400,0.000095
g,a,0.059000,5.000000,0.011800,0.000011
m:,m:,0.569000,5.000000,0.113800,0.001414
m:,UNK,0.590000,5.000000,0.118000,0.001696
d,i,0.047000,5.000000,0.009400,0.000024
tˤ:,tˤ:,0.674000,5.000000,0.134800,0.002798
UNK,tˤ:,0.764000,5.000000,0.152800,0.000321
tˤ:,UNK,0.720000,5.000000,0.144000,0.003504
ʒ,ʒ,0.468000,5.000000,0.093600,0.001228
ʒ,UNK,0.520000,5.000000,0.104000,0.001544
UNK,ʒ,0.525000,5.000000,0.105000,0.000537
q:,q:,0.690000,5.000000,0.138000,0.000266
q:,UNK,0.720000,5.000000,0.144000,0.000104
UNK,q:,0.690000,5.000000,0.138000,0.000266
d:,d:,0.833000,5.000000,0.166600,0.000494
d:,UNK,0.900000,5.000000,0.180000,0.001400
a,j,0.109000,5.000000,0.021800,0.000114
s,a,0.030000,4.000000,0.007500,0.000032
r,i,0.156000,4.000000,0.039000,0.001323
i,n,0.297000,4.000000,0.074250,0.007192
r,u,0.150000,4.000000,0.037500,0.000417
ħ,ħ,0.370000,4.000000,0.092500,0.000669
UNK,ħ,0.383000,4.000000,0.095750,0.000489
ħ,UNK,0.380000,4.000000,0.095000,0.000525
zˤ,zˤ,0.337000,4.000000,0.084250,0.000439
zˤ,UNK,0.350000,4.000000,0.087500,0.000619
UNK,zˤ,0.337000,4.000000,0.084250,0.000439
a,n,0.315000,4.000000,0.078750,0.004498
i,d,0.108000,4.000000,0.027000,0.000469
j,a,0.085000,4.000000,0.021250,0.000204
d,s,0.094000,4.000000,0.023500,0.000008
ʁ,a,0.107000,4.000000,0.026750,0.000089
i,g,0.098000,4.000000,0.024500,0.000127
d,d:,0.268000,4.000000,0.067000,0.000118
a,a:,0.383000,4.000000,0.095750,0.001394
n,g,0.151000,3.000000,0.050333,0.000822
w,a,0.041000,3.000000,0.013667,0.000020
g,i,0.040000,3.000000,0.013333,0.000118
k,r,0.099000,3.000000,0.033000,0.000018
ʁ,r,0.049000,3.000000,0.016333,0.000003
d,a,0.026000,3.000000,0.008667,0.000010
j,u,0.107000,3.000000,0.035667,0.000700
r:,r:,0.370000,3.000000,0.123333,0.000289
UNK,r:,0.400000,3.000000,0.133333,0.000822
r:,UNK,0.460000,3.000000,0.153333,0.000089
i,l:,0.117000,3.000000,0.039000,0.000474
k:,k:,0.375000,3.000000,0.125000,0.000717
UNK,k:,0.375000,3.000000,0.125000,0.000717
k:,UNK,0.420000,3.000000,0.140000,0.000867
a,k,0.031000,3.000000,0.010333,0.000014
w,i,0.063000,3.000000,0.021000,0.000021
t,z,0.230000,3.000000,0.076667,0.000089
n,n:,0.230000,3.000000,0.076667,0.001156
ɡʷ,UNK,0.180000,3.000000,0.060000,0.001267
g,n,0.063000,3.000000,0.021000,0.000062
a,f,0.011000,2.000000,0.005500,0.000002
g,j,0.015000,2.000000,0.007500,0.000002
t,a,0.033000,2.000000,0.016500,0.000042
ʁ,u,0.040000,2.000000,0.020000,0.000025
s,n,0.012000,2.000000,0.006000,0.000001
r:,u,0.060000,2.000000,0.030000,0.000004
z,i,0.017000,2.000000,0.008500,0.000000
g,l:,0.086000,2.000000,0.043000,0.000169
i,r,0.056000,2.000000,0.028000,0.000004
n,r,0.016000,2.000000,0.008000,0.000009
k,a,0.013000,2.000000,0.006500,0.000000
k,kʷ:,0.053000,2.000000,0.026500,0.000012
kʷ,kʷ:,0.020000,2.000000,0.010000,0.000000
kʷ,UNK,0.020000,2.000000,0.010000,0.000000
UNK,kʷ:,0.285000,2.000000,0.142500,0.000156
l:,i,0.040000,2.000000,0.020000,0.000169
tˤ:,a,0.010000,2.000000,0.005000,0.000009
ʁ,i,0.059000,2.000000,0.029500,0.000380
t,i,0.099000,2.000000,0.049500,0.001892
d,g,0.023000,2.000000,0.011500,0.000030
g,d,0.050000,2.000000,0.025000,0.000225
m,i,0.027000,2.000000,0.013500,0.000056
rˤ,a,0.036000,2.000000,0.018000,0.000036
UNK,z:,0.272000,2.000000,0.136000,0.000036
n,t:,0.074000,2.000000,0.037000,0.000961
d,z,0.180000,2.000000,0.090000,0.000400
g,u,0.010000,2.000000,0.005000,0.000009
i,m:,0.108000,2.000000,0.054000,0.002116
a,g,0.015000,2.000000,0.007500,0.000000
ʁ,d,0.011000,2.000000,0.005500,0.000000
m,m:,0.120000,2.000000,0.060000,0.000900
t,s:,0.111000,2.000000,0.055500,0.000240
a,r,0.018000,2.000000,0.009000,0.000001
ʕ,ʕ,0.090000,2.000000,0.045000,0.000225
ʕ,UNK,0.090000,2.000000,0.045000,0.000225
UNK,ʕ,0.126000,2.000000,0.063000,0.000016
ɡʷ,ɡʷ,0.170000,2.000000,0.085000,0.000025
UNK,ɡʷ,0.200000,2.000000,0.100000,0.000400
u,g,0.023000,2.000000,0.011500,0.000006
t,d,0.110000,2.000000,0.055000,0.000025
UNK,a:,0.383000,2.000000,0.191500,0.005112
n,a,0.024000,2.000000,0.012000,0.000121
d,t:,0.110000,2.000000,0.055000,0.000225
sˤ,sˤ,0.170000,2.000000,0.085000,0.001225
sˤ,UNK,0.170000,2.000000,0.085000,0.001225
UNK,sˤ,0.206000,2.000000,0.103000,0.000289
a,h,0.048000,2.000000,0.024000,0.000036
h,h,0.157000,2.000000,0.078500,0.002352
h,UNK,0.210000,2.000000,0.105000,0.005625
UNK,h,0.255000,2.000000,0.127500,0.000000
