gold,pred,time_sec,support,avg_time,var_time
t:,UNK,1.993000,15.000000,0.132867,0.000791
z,UNK,1.338000,15.000000,0.089200,0.000369
UNK,dˤ,1.230000,14.000000,0.087857,0.000731
UNK,f,1.091000,13.000000,0.083923,0.001554
f,UNK,1.180000,13.000000,0.090769,0.001156
dˤ,UNK,1.151000,13.000000,0.088538,0.000064
f,f,1.055000,12.000000,0.087917,0.001442
t:,t,0.541000,12.000000,0.045083,0.000993
dˤ,dˤ,1.050000,12.000000,0.087500,0.000055
a,r,0.286000,11.000000,0.026000,0.000828
b,UNK,0.825000,11.000000,0.075000,0.000813
UNK,b,0.530000,11.000000,0.048182,0.000688
n:,UNK,1.612000,10.000000,0.161200,0.001386
j,i,0.344000,10.000000,0.034400,0.000584
ʃ,ʃ,0.769000,9.000000,0.085444,0.000782
ʃ,UNK,0.822000,9.000000,0.091333,0.000754
UNK,ʃ,0.770000,9.000000,0.085556,0.000780
n:,n:,1.183000,9.000000,0.131444,0.002028
UNK,n:,1.200000,9.000000,0.133333,0.001911
b,b,0.490000,9.000000,0.054444,0.000602
s:,s:,1.341000,9.000000,0.149000,0.000875
s:,UNK,1.452000,9.000000,0.161333,0.000312
UNK,s:,1.350000,9.000000,0.150000,0.000867
z,z,0.803000,9.000000,0.089222,0.000356
UNK,z,0.820000,9.000000,0.091111,0.000321
l:,l:,0.699000,9.000000,0.077667,0.001020
l:,UNK,0.969000,9.000000,0.107667,0.000343
UNK,l:,0.750000,9.000000,0.083333,0.001311
UNK,t:,0.660000,7.000000,0.094286,0.003310
s,t,0.523000,7.000000,0.074714,0.002090
i,n,0.209000,7.000000,0.029857,0.000646
d:,UNK,1.129000,7.000000,0.161286,0.000452
t:,t:,0.638000,6.000000,0.106333,0.002254
a,dˤ,0.080000,6.000000,0.013333,0.000062
m:,UNK,0.850000,6.000000,0.141667,0.000573
rˤ,rˤ,0.293000,6.000000,0.048833,0.000287
UNK,rˤ,0.380000,6.000000,0.063333,0.000522
rˤ,UNK,0.367000,6.000000,0.061167,0.000137
n,t,0.122000,5.000000,0.024400,0.000095
a,g,0.059000,5.000000,0.011800,0.000011
m:,m:,0.569000,5.000000,0.113800,0.001414
UNK,m:,0.590000,5.000000,0.118000,0.001696
i,d,0.047000,5.000000,0.009400,0.000024
tˤ:,tˤ:,0.674000,5.000000,0.134800,0.002798
tˤ:,UNK,0.764000,5.000000,0.152800,0.000321
UNK,tˤ:,0.720000,5.000000,0.144000,0.003504
ʒ,ʒ,0.468000,5.000000,0.093600,0.001228
ʒ,UNK,0.525000,5.000000,0.105000,0.000537
UNK,ʒ,0.520000,5.000000,0.104000,0.001544
q:,q:,0.690000,5.000000,0.138000,0.000266
q:,UNK,0.690000,5.000000,0.138000,0.000266
UNK,q:,0.720000,5.000000,0.144000,0.000104
d:,d:,0.833000,5.000000,0.166600,0.000494
UNK,d:,0.900000,5.000000,0.180000,0.001400
j,a,0.109000,5.000000,0.021800,0.000114
a,s,0.030000,4.000000,0.007500,0.000032
i,r,0.156000,4.000000,0.039000,0.001323
n,i,0.297000,4.000000,0.074250,0.007192
u,r,0.150000,4.000000,0.037500,0.000417
ħ,ħ,0.370000,4.000000,0.092500,0.000669
ħ,UNK,0.383000,4.000000,0.095750,0.000489
UNK,ħ,0.380000,4.000000,0.095000,0.000525
zˤ,zˤ,0.337000,4.000000,0.084250,0.000439
zˤ,UNK,0.337000,4.000000,0.084250,0.000439
UNK,zˤ,0.350000,4.000000,0.087500,0.000619
n,a,0.315000,4.000000,0.078750,0.004498
d,i,0.108000,4.000000,0.027000,0.000469
a,j,0.085000,4.000000,0.021250,0.000204
s,d,0.094000,4.000000,0.023500,0.000008
a,ʁ,0.107000,4.000000,0.026750,0.000089
g,i,0.098000,4.000000,0.024500,0.000127
d:,d,0.268000,4.000000,0.067000,0.000118
a:,a,0.383000,4.000000,0.095750,0.001394
g,n,0.151000,3.000000,0.050333,0.000822
a,w,0.041000,3.000000,0.013667,0.000020
i,g,0.040000,3.000000,0.013333,0.000118
r,k,0.099000,3.000000,0.033000,0.000018
r,ʁ,0.049000,3.000000,0.016333,0.000003
a,d,0.026000,3.000000,0.008667,0.000010
u,j,0.107000,3.000000,0.035667,0.000700
r:,r:,0.370000,3.000000,0.123333,0.000289
r:,UNK,0.400000,3.000000,0.133333,0.000822
UNK,r:,0.460000,3.000000,0.153333,0.000089
l:,i,0.117000,3.000000,0.039000,0.000474
k:,k:,0.375000,3.000000,0.125000,0.000717
k:,UNK,0.375000,3.000000,0.125000,0.000717
UNK,k:,0.420000,3.000000,0.140000,0.000867
k,a,0.031000,3.000000,0.010333,0.000014
i,w,0.063000,3.000000,0.021000,0.000021
z,t,0.230000,3.000000,0.076667,0.000089
n:,n,0.230000,3.000000,0.076667,0.001156
UNK,ɡʷ,0.180000,3.000000,0.060000,0.001267
n,g,0.063000,3.000000,0.021000,0.000062
f,a,0.011000,2.000000,0.005500,0.000002
