gold,pred,time_sec,support,avg_time,var_time
w,s,0.011000,1.000000,0.011000,0.000000
l,a,0.017000,1.000000,0.017000,0.000000
u,m:,0.030000,1.000000,0.030000,0.000000
b,m:,0.023000,1.000000,0.023000,0.000000
b,u,0.007000,1.000000,0.007000,0.000000
u,i,0.013000,1.000000,0.013000,0.000000
r,b,0.104000,1.000000,0.104000,0.000000
k,s,0.008000,1.000000,0.008000,0.000000
t,g,0.013000,1.000000,0.013000,0.000000
f,t,0.006000,1.000000,0.006000,0.000000
d:,i,0.008000,1.000000,0.008000,0.000000
i,k,0.024000,1.000000,0.024000,0.000000
g,r,0.006000,1.000000,0.006000,0.000000
i,a,0.042000,1.000000,0.042000,0.000000
i,ʕ,0.021000,1.000000,0.021000,0.000000
z:,ʕ,0.008000,1.000000,0.008000,0.000000
g,ɡʷ:,0.010000,1.000000,0.010000,0.000000
ɡʷ,ɡʷ:,0.010000,1.000000,0.010000,0.000000
a,ɡʷ:,0.030000,1.000000,0.030000,0.000000
i,m,0.006000,1.000000,0.006000,0.000000
m,u,0.005000,1.000000,0.005000,0.000000
a,i,0.037000,1.000000,0.037000,0.000000
k:,t,0.020000,1.000000,0.020000,0.000000
k:,a,0.005000,1.000000,0.005000,0.000000
i,n:,0.042000,1.000000,0.042000,0.000000
s:,t,0.009000,1.000000,0.009000,0.000000
dˤ,u,0.009000,1.000000,0.009000,0.000000
k,g,0.030000,1.000000,0.030000,0.000000
j,n:,0.092000,1.000000,0.092000,0.000000
d,n,0.029000,1.000000,0.029000,0.000000
d:,u,0.006000,1.000000,0.006000,0.000000
ʒ,g,0.052000,1.000000,0.052000,0.000000
j,i,0.056000,1.000000,0.056000,0.000000
n,l,0.036000,1.000000,0.036000,0.000000
u,b,0.012000,1.000000,0.012000,0.000000
s,z,0.060000,1.000000,0.060000,0.000000
f,tˤ:,0.030000,1.000000,0.030000,0.000000
g,s,0.017000,1.000000,0.017000,0.000000
a,r:,0.030000,1.000000,0.030000,0.000000
u,r,0.010000,1.000000,0.010000,0.000000
d,b,0.085000,1.000000,0.085000,0.000000
r,k,0.007000,1.000000,0.007000,0.000000
tˤ:,sˤ,0.036000,1.000000,0.036000,0.000000
rˤ,i,0.013000,1.000000,0.013000,0.000000
