gold,pred,time_sec,support,avg_time,var_time
s,w,0.011000,1.000000,0.011000,0.000000
a,l,0.017000,1.000000,0.017000,0.000000
m:,u,0.030000,1.000000,0.030000,0.000000
m:,b,0.023000,1.000000,0.023000,0.000000
u,b,0.007000,1.000000,0.007000,0.000000
i,u,0.013000,1.000000,0.013000,0.000000
b,r,0.104000,1.000000,0.104000,0.000000
s,k,0.008000,1.000000,0.008000,0.000000
g,t,0.013000,1.000000,0.013000,0.000000
t,f,0.006000,1.000000,0.006000,0.000000
i,d:,0.008000,1.000000,0.008000,0.000000
k,i,0.024000,1.000000,0.024000,0.000000
r,g,0.006000,1.000000,0.006000,0.000000
a,i,0.042000,1.000000,0.042000,0.000000
ʕ,i,0.021000,1.000000,0.021000,0.000000
ʕ,z:,0.008000,1.000000,0.008000,0.000000
ɡʷ:,g,0.010000,1.000000,0.010000,0.000000
ɡʷ:,ɡʷ,0.010000,1.000000,0.010000,0.000000
ɡʷ:,a,0.030000,1.000000,0.030000,0.000000
m,i,0.006000,1.000000,0.006000,0.000000
u,m,0.005000,1.000000,0.005000,0.000000
i,a,0.037000,1.000000,0.037000,0.000000
t,k:,0.020000,1.000000,0.020000,0.000000
a,k:,0.005000,1.000000,0.005000,0.000000
n:,i,0.042000,1.000000,0.042000,0.000000
t,s:,0.009000,1.000000,0.009000,0.000000
u,dˤ,0.009000,1.000000,0.009000,0.000000
g,k,0.030000,1.000000,0.030000,0.000000
n:,j,0.092000,1.000000,0.092000,0.000000
n,d,0.029000,1.000000,0.029000,0.000000
u,d:,0.006000,1.000000,0.006000,0.000000
g,ʒ,0.052000,1.000000,0.052000,0.000000
i,j,0.056000,1.000000,0.056000,0.000000
l,n,0.036000,1.000000,0.036000,0.000000
b,u,0.012000,1.000000,0.012000,0.000000
z,s,0.060000,1.000000,0.060000,0.000000
tˤ:,f,0.030000,1.000000,0.030000,0.000000
s,g,0.017000,1.000000,0.017000,0.000000
r:,a,0.030000,1.000000,0.030000,0.000000
r,u,0.010000,1.000000,0.010000,0.000000
b,d,0.085000,1.000000,0.085000,0.000000
k,r,0.007000,1.000000,0.007000,0.000000
sˤ,tˤ:,0.036000,1.000000,0.036000,0.000000
i,rˤ,0.013000,1.000000,0.013000,0.000000
r,s,0.019000,1.000000,0.019000,0.000000
t,ʃ,0.001000,1.000000,0.001000,0.000000
ʃ,t:,0.006000,1.000000,0.006000,0.000000
a,t:,0.006000,1.000000,0.006000,0.000000
a,b,0.010000,1.000000,0.010000,0.000000
b,n,0.007000,1.000000,0.007000,0.000000
ʕ,t,0.007000,1.000000,0.007000,0.000000
u,rˤ,0.038000,1.000000,0.038000,0.000000
ɡʷ,r:,0.030000,1.000000,0.030000,0.000000
a,h,0.026000,1.000000,0.026000,0.000000
i,h,0.027000,1.000000,0.027000,0.000000
s,a,0.007000,1.000000,0.007000,0.000000
b,i,0.009000,1.000000,0.009000,0.000000
b,d:,0.053000,1.000000,0.053000,0.000000
ʁ,a,0.009000,1.000000,0.009000,0.000000
ʒ,d,0.044000,1.000000,0.044000,0.000000
ʃ,t,0.019000,1.000000,0.019000,0.000000
i,dˤ,0.028000,1.000000,0.028000,0.000000
