gold,pred,time_sec,support,mean, median,variance
UNK,ħ,0.1000,1.0000,0.1000,0.0000
r,a,0.0330,1.0000,0.0330,0.0000
r,n,0.0110,1.0000,0.0110,0.0000
UNK,k,0.0800,1.0000,0.0800,0.0000
b,n,0.0300,1.0000,0.0300,0.0000
n,ħ,0.0220,1.0000,0.0220,0.0000
n:,UNK,0.3400,1.0000,0.3400,0.0000
u,l:,0.0380,1.0000,0.0380,0.0000
dˤ,f,0.0140,1.0000,0.0140,0.0000
t,i,0.0090,1.0000,0.0090,0.0000
rˤ,dˤ,0.0780,1.0000,0.0780,0.0000
UNK,rˤ,0.0500,1.0000,0.0500,0.0000
l,s:,0.0290,1.0000,0.0290,0.0000
a,rˤ,0.0200,1.0000,0.0200,0.0000
n,a,0.0090,1.0000,0.0090,0.0000
d:,b,0.1460,1.0000,0.1460,0.0000
d:,UNK,0.1090,1.0000,0.1090,0.0000
zˤ,t:,0.0100,1.0000,0.0100,0.0000
zˤ,zˤ,0.0600,1.0000,0.0600,0.0000
zˤ,a,0.0060,1.0000,0.0060,0.0000
s,l,0.0550,1.0000,0.0550,0.0000
l,m,0.0510,1.0000,0.0510,0.0000
n,m,0.0100,1.0000,0.0100,0.0000
q:,q:,0.1200,1.0000,0.1200,0.0000
UNK,q:,0.1200,1.0000,0.1200,0.0000
l,t,0.0300,1.0000,0.0300,0.0000
u,t:,0.0100,1.0000,0.0100,0.0000
t:,UNK,0.1690,1.0000,0.1690,0.0000
ʒ:,ʒ:,0.2500,1.0000,0.2500,0.0000
UNK,ʒ:,0.2500,1.0000,0.2500,0.0000
dˤ,UNK,0.0740,1.0000,0.0740,0.0000
i,s,0.0080,1.0000,0.0080,0.0000
j,i,0.1990,1.0000,0.1990,0.0000
m:,m:,0.1700,1.0000,0.1700,0.0000
m:,u,0.0050,1.0000,0.0050,0.0000
θ,u,0.0310,1.0000,0.0310,0.0000
θ,UNK,0.1380,1.0000,0.1380,0.0000
i,l,0.0870,1.0000,0.0870,0.0000
w,i,0.0160,1.0000,0.0160,0.0000
z,UNK,0.0800,1.0000,0.0800,0.0000
ʁ,i,0.0930,1.0000,0.0930,0.0000
r,ʁ,0.0250,1.0000,0.0250,0.0000
m,ʁ,0.0050,1.0000,0.0050,0.0000
m,r,0.0300,1.0000,0.0300,0.0000
UNK,dˤ,0.1200,1.0000,0.1200,0.0000
d,r,0.0120,1.0000,0.0120,0.0000
g,s,0.0300,1.0000,0.0300,0.0000
n,z,0.0080,1.0000,0.0080,0.0000
s,b,0.0510,1.0000,0.0510,0.0000
g,u,0.0130,1.0000,0.0130,0.0000
a,f,0.0600,1.0000,0.0600,0.0000
r,f,0.0060,1.0000,0.0060,0.0000
u,s,0.0070,1.0000,0.0070,0.0000
